                         List of relations
 Schema |                 Name                  | Type  |  Owner   
--------+---------------------------------------+-------+----------
 gen    | analiticadeducoes                     | table | sageuser
 gen    | analiticadetalhamento                 | table | sageuser
 gen    | anp                                   | table | sageuser
 gen    | ativeissconam                         | table | sageuser
 gen    | atividade                             | table | sageuser
 gen    | ativissdig                            | table | sageuser
 gen    | ativsimpliss                          | table | sageuser
 gen    | bebidasfrias                          | table | sageuser
 gen    | cadastro                              | table | sageuser
 gen    | cadcertdigital                        | table | sageuser
 gen    | cadcontr                              | table | sageuser
 gen    | cadcontred                            | table | sageuser
 gen    | cadinscr                              | table | sageuser
 gen    | centrafs                              | table | sageuser
 gen    | centrafs_regicaixa                    | table | sageuser
 gen    | centrarb                              | table | sageuser
 gen    | centrarb_regcaixa                     | table | sageuser
 gen    | centrasn                              | table | sageuser
 gen    | centrasn_regcaixa                     | table | sageuser
 gen    | cfeconfigcst                          | table | sageuser
 gen    | cfgcfopxmlpadrao                      | table | sageuser
 gen    | cfgcontabiloutrasreceitas             | table | sageuser
 gen    | cfgtransporte                         | table | sageuser
 gen    | cfic                                  | table | sageuser
 gen    | cfo                                   | table | sageuser
 gen    | cfop_pr                               | table | sageuser
 gen    | cfopcfg                               | table | sageuser
 gen    | cfopcfgmodimp                         | table | sageuser
 gen    | cfopcfgrj                             | table | sageuser
 gen    | cfps                                  | table | sageuser
 gen    | cfpsmatao                             | table | sageuser
 gen    | cfpssertaozinho                       | table | sageuser
 gen    | cid_pr                                | table | sageuser
 gen    | cid_sp                                | table | sageuser
 gen    | ciirsaid                              | table | sageuser
 gen    | classeipi                             | table | sageuser
 gen    | classificacaoservicoreinf             | table | sageuser
 gen    | classitemcons                         | table | sageuser
 gen    | cli_for                               | table | sageuser
 gen    | clifordadosreinf                      | table | sageuser
 gen    | clifordependentes                     | table | sageuser
 gen    | codajuapipi                           | table | sageuser
 gen    | codajuapuicms                         | table | sageuser
 gen    | codajuapuicmspadrao                   | table | sageuser
 gen    | codativ                               | table | sageuser
 gen    | codbccred                             | table | sageuser
 gen    | codcomunicacao                        | table | sageuser
 gen    | coddarf                               | table | sageuser
 gen    | coddarfmodimp                         | table | sageuser
 gen    | coddipam                              | table | sageuser
 gen    | coddispautoriz                        | table | sageuser
 gen    | codenergia                            | table | sageuser
 gen    | codenergprod                          | table | sageuser
 gen    | codgas                                | table | sageuser
 gen    | codgrupotensao                        | table | sageuser
 gen    | codigo_obrigacaoicms                  | table | sageuser
 gen    | codigoindicadoroperacao               | table | sageuser
 gen    | codigonaturezarendimento              | table | sageuser
 gen    | codigonbs                             | table | sageuser
 gen    | codigoretido                          | table | sageuser
 gen    | codigotributacaonacional              | table | sageuser
 gen    | codovms                               | table | sageuser
 gen    | codrecfecp                            | table | sageuser
 gen    | codrecrj                              | table | sageuser
 gen    | codretencao                           | table | sageuser
 gen    | codservdms                            | table | sageuser
 gen    | codsitnfse                            | table | sageuser
 gen    | codsitnfse56                          | table | sageuser
 gen    | codtipoligacao                        | table | sageuser
 gen    | codturbo                              | table | sageuser
 gen    | codturbocte                           | table | sageuser
 gen    | coduticrefisicms                      | table | sageuser
 gen    | coduticrefisicmspadrao                | table | sageuser
 gen    | confcfocodabac                        | table | sageuser
 gen    | confcfopciap                          | table | sageuser
 gen    | confcfoppadrao                        | table | sageuser
 gen    | configs                               | table | sageuser
 gen    | configur                              | table | sageuser
 gen    | confint2                              | table | sageuser
 gen    | controleeventotransmissaoesocialreinf | table | sageuser
 gen    | controleseloipi                       | table | sageuser
 gen    | csosn                                 | table | sageuser
 gen    | cst_classtrib                         | table | sageuser
 gen    | cst_classtrib_is                      | table | sageuser
 gen    | daconcategoria                        | table | sageuser
 gen    | daconproduto                          | table | sageuser
