tabela,bytes_total,tamanho_total,tamanho_dados,tamanho_indices,linhas_estimadas
lcsreg54,5845958656,5575 MB,4524 MB,1050 MB,6948161
lcsreg542,2380283904,2270 MB,1582 MB,687 MB,5898652
nfsaida,2297683968,2191 MB,1599 MB,592 MB,1809641
nfsresuman,1271193600,1212 MB,949 MB,263 MB,3037961
lcsaida,1241104384,1184 MB,919 MB,264 MB,3056670
nfsreg54,349061120,333 MB,231 MB,102 MB,1804716
lcereg54,118341632,113 MB,93 MB,20 MB,127518
lcereg542,47915008,46 MB,32 MB,14 MB,119608
nfentrad,24297472,23 MB,17 MB,6016 kB,22275
nferesuman,11509760,11 MB,8752 kB,2456 kB,27339
lcentrad,10657792,10 MB,7952 kB,2424 kB,26982
lcentrad2,6725632,6568 kB,4680 kB,1856 kB,20452
pro_ser,5013504,4896 kB,4328 kB,528 kB,16632
nfereg54,4571136,4464 kB,3120 kB,1312 kB,22274
obsnfent,2433024,2376 kB,1792 kB,552 kB,17230
nfedadcomp,2195456,2144 kB,1856 kB,256 kB,7725
nfeoutrobr,1884160,1840 kB,1408 kB,400 kB,12296
inventar,1318912,1288 kB,1056 kB,200 kB,5900
apuracao_difal,991232,968 kB,776 kB,160 kB,2403
codimp,974848,952 kB,880 kB,40 kB,403
lcsaida2,630784,616 kB,376 kB,208 kB,1843
nf_iss56,581632,568 kB,456 kB,72 kB,669
registrosefd,548864,536 kB,304 kB,200 kB,5814
arquivoloteeventotransmissaoesocialreinf,466944,456 kB,24 kB,16 kB,54
situacaocertificadoesocialreinf,335872,328 kB,80 kB,208 kB,1
cli_for,294912,288 kB,88 kB,160 kB,315
lcdetisstomados,270336,264 kB,200 kB,32 kB,469
controlegeracaoloteeventoesocialreinf,253952,248 kB,16 kB,208 kB,0
controleenvioloteeventoesocialreinf,253952,248 kB,16 kB,208 kB,0
impret56,180224,176 kB,96 kB,48 kB,464
cbdetisstomados,155648,152 kB,72 kB,48 kB,469
